ID,Name,Specialty,Hospital_Group,City,District,State,Rating_5_Scale,Review_Summary,,,,,,,,
738,Aster Hospital,Gastroenterology,Apollo Group,Kochi,Kochi District,Kerala,4,Exceptional care and professional staff.,,,,,,,,
739,Raj Super Speciality Hospital,Cardiology,Aster DM Healthcare,Vadodara,Vadodara District,Gujarat,3.7,Good experience overall but long waiting times.,,,,,,,,
740,Apollo Hospital & Research,Endocrinology,Prime Medical Group,Vijayawada,Vijayawada District,Andhra Pradesh,3.2,Caring doctors and quick emergency response.,,,,,,,,
741,Swasth Care Hospital,Pediatrics,Swasthya Foundation,Kanpur,Kanpur District,Uttar Pradesh,3.2,Average service; room service needs improvement.,,,,,,,,
742,National Medical Center,Orthopedics,Independent,Jaipur,Jaipur District,Rajasthan,3.3,Caring doctors and quick emergency response.,,,,,,,,
743,Raj Health Centre,Nephrology,Narayana Health,Vijayawada,Vijayawada District,Andhra Pradesh,3.2,Highly recommended for specialized surgery.,,,,,,,,
744,Fortis Super Speciality Hospital,Nephrology,Max Healthcare,Thane,Thane District,Maharashtra,4.4,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
745,CarePlus Clinic,Gastroenterology,Fortis Healthcare,Bengaluru,Bengaluru District,Karnataka,3,Good value for money and efficient treatment.,,,,,,,,
746,Global Super Speciality Hospital,Neurology,CarePlus Hospitals,Vadodara,Vadodara District,Gujarat,4,Caring doctors and quick emergency response.,,,,,,,,
747,Fortis Hospital & Research,Nephrology,Independent,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,3.1,Modern equipment but billing could be better.,,,,,,,,
748,Vijaya Health Centre,Orthopedics,CarePlus Hospitals,Vijayawada,Vijayawada District,Andhra Pradesh,3.7,Caring doctors and quick emergency response.,,,,,,,,
749,Crystal Hospital & Research,ENT,Max Healthcare,Durgapur,Durgapur District,West Bengal,3.6,"Very skilled specialists, especially in their department.",,,,,,,,
750,Swasth Clinic,Pulmonology,Prime Medical Group,Durgapur,Durgapur District,West Bengal,4.9,Good value for money and efficient treatment.,,,,,,,,
751,Metro Clinic,Pediatrics,Manipal Hospitals,Bengaluru,Bengaluru District,Karnataka,4.4,Average service; room service needs improvement.,,,,,,,,
752,Crystal Hospital,Dermatology,Fortis Healthcare,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,3.5,Average service; room service needs improvement.,,,,,,,,
753,Sujatha Super Speciality Hospital,Rheumatology,Global Health Group,Kanpur,Kanpur District,Uttar Pradesh,3.8,Good experience overall but long waiting times.,,,,,,,,
754,Apollo Care Hospital,Psychiatry,Global Health Group,Durgapur,Durgapur District,West Bengal,4.4,Good value for money and efficient treatment.,,,,,,,,
755,LifeCare Clinic,Neurology,Narayana Health,Vadodara,Vadodara District,Gujarat,4.3,Highly recommended for specialized surgery.,,,,,,,,
756,Aster Hospital & Research,Oncology,Aster DM Healthcare,Mumbai,Mumbai District,Maharashtra,4.9,"Very skilled specialists, especially in their department.",,,,,,,,
757,Apollo Hospital & Research,Endocrinology,Max Healthcare,Chennai,Chennai District,Tamil Nadu,4.9,Modern equipment but billing could be better.,,,,,,,,
758,Fortis Hospital & Research,Endocrinology,Narayana Health,Patna,Patna District,Bihar,4.2,Caring doctors and quick emergency response.,,,,,,,,
759,Raj Health Institute,Nephrology,CarePlus Hospitals,Ahmedabad,Ahmedabad District,Gujarat,4.6,Modern equipment but billing could be better.,,,,,,,,
760,Vijaya Super Speciality Hospital,Dermatology,Swasthya Foundation,Kanpur,Kanpur District,Uttar Pradesh,3.4,Average service; room service needs improvement.,,,,,,,,
761,Trinity Medical Center,Oncology,Manipal Hospitals,Mumbai,Mumbai District,Maharashtra,3,Modern equipment but billing could be better.,,,,,,,,
762,National Hospital & Research,Oncology,Prime Medical Group,Mumbai,Mumbai District,Maharashtra,3.4,Excellent diagnostics and attentive staff.,,,,,,,,
763,Sunrise Health Centre,Pediatrics,Swasthya Foundation,Chennai,Chennai District,Tamil Nadu,3.2,Good value for money and efficient treatment.,,,,,,,,
764,Apollo Clinic,General,Independent,Lucknow,Lucknow District,Uttar Pradesh,3.9,Average service; room service needs improvement.,,,,,,,,
765,Vijaya Medical Center,Gastroenterology,Max Healthcare,Dehradun,Dehradun District,Uttarakhand,4.9,Caring doctors and quick emergency response.,,,,,,,,
766,Trinity Health Institute,Gastroenterology,Fortis Healthcare,Bengaluru,Bengaluru District,Karnataka,4.1,Modern equipment but billing could be better.,,,,,,,,
767,National Health Centre,Ophthalmology,CarePlus Hospitals,Vellore,Vellore District,Tamil Nadu,3.7,Caring doctors and quick emergency response.,,,,,,,,
768,Raj Medical Center,Obstetrics & Gynecology,Apollo Group,Patna,Patna District,Bihar,3.9,Good experience overall but long waiting times.,,,,,,,,
769,Global Care Hospital,Nephrology,Manipal Hospitals,Vellore,Vellore District,Tamil Nadu,4.4,Average service; room service needs improvement.,,,,,,,,
770,Sunrise Care Hospital,Pediatrics,Global Health Group,Jodhpur,Jodhpur District,Rajasthan,4.6,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
771,Swasth Hospital,Pediatrics,Aster DM Healthcare,Mumbai,Mumbai District,Maharashtra,3.9,Good experience overall but long waiting times.,,,,,,,,
772,Sunrise Super Speciality Hospital,Endocrinology,Max Healthcare,Lucknow,Lucknow District,Uttar Pradesh,4.7,Exceptional care and professional staff.,,,,,,,,
773,LifeCare Medical Center,Obstetrics & Gynecology,Swasthya Foundation,Erode,Erode District,Tamil Nadu,3.1,Good experience overall but long waiting times.,,,,,,,,
774,Apollo Super Speciality Hospital,Rheumatology,Fortis Healthcare,Hyderabad,Hyderabad District,Telangana,3.4,Excellent diagnostics and attentive staff.,,,,,,,,
775,National Health Institute,Radiology,Independent,Noida,Noida District,Uttar Pradesh,4.3,Average service; room service needs improvement.,,,,,,,,
776,Sujatha Health Centre,Urology,City Health Org,Salem,Salem District,Tamil Nadu,3.6,Good value for money and efficient treatment.,,,,,,,,
777,Yashodha Hospital,Oncology,Max Healthcare,Bhopal,Bhopal District,Madhya Pradesh,3.4,Caring doctors and quick emergency response.,,,,,,,,
778,Vijaya Hospital,ENT,Aster DM Healthcare,Trivandrum,Trivandrum District,Kerala,3.8,"Very skilled specialists, especially in their department.",,,,,,,,
779,Fortis Health Centre,Pediatrics,Fortis Healthcare,Delhi,Delhi District,Delhi,3.2,Exceptional care and professional staff.,,,,,,,,
780,Harmony Hospital,Emergency Medicine,City Health Org,Ahmedabad,Ahmedabad District,Gujarat,4,Caring doctors and quick emergency response.,,,,,,,,
781,Crystal Clinic,Rheumatology,Aster DM Healthcare,Kochi,Kochi District,Kerala,3.8,Average service; room service needs improvement.,,,,,,,,
782,Metro Hospital,Emergency Medicine,City Health Org,Varanasi,Varanasi District,Uttar Pradesh,3.8,Excellent diagnostics and attentive staff.,,,,,,,,
783,Swasth Health Institute,Nephrology,Prime Medical Group,Vadodara,Vadodara District,Gujarat,5,Modern equipment but billing could be better.,,,,,,,,
784,Yashodha Clinic,Dermatology,Max Healthcare,Bengaluru,Bengaluru District,Karnataka,4.2,Modern equipment but billing could be better.,,,,,,,,
785,National Care Hospital,Nephrology,Aster DM Healthcare,Dehradun,Dehradun District,Uttarakhand,4.9,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
786,CarePlus Care Hospital,Rheumatology,Narayana Health,Ranchi,Ranchi District,Jharkhand,4.8,Caring doctors and quick emergency response.,,,,,,,,
787,Sanjeevani Health Institute,Orthopedics,CarePlus Hospitals,Kochi,Kochi District,Kerala,4,Good value for money and efficient treatment.,,,,,,,,
788,LifeCare Hospital,Emergency Medicine,Prime Medical Group,Salem,Salem District,Tamil Nadu,3.5,Average service; room service needs improvement.,,,,,,,,
789,Fortis Super Speciality Hospital,Ophthalmology,CarePlus Hospitals,Hyderabad,Hyderabad District,Telangana,3.2,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
790,Sanjeevani Clinic,Neurology,Manipal Hospitals,Kochi,Kochi District,Kerala,3.1,Modern equipment but billing could be better.,,,,,,,,
791,Metro Care Hospital,ENT,Fortis Healthcare,Jodhpur,Jodhpur District,Rajasthan,3.4,Caring doctors and quick emergency response.,,,,,,,,
792,Swasth Hospital,Plastic Surgery,Max Healthcare,Srinagar,Srinagar District,Jammu & Kashmir,3,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
793,Yashodha Medical Center,Plastic Surgery,Narayana Health,Gurugram,Gurugram District,Haryana,4.4,Exceptional care and professional staff.,,,,,,,,
794,Prime Health Institute,Orthopedics,Max Healthcare,Mysore,Mysore District,Karnataka,4.9,Caring doctors and quick emergency response.,,,,,,,,
795,Sunrise Clinic,Endocrinology,Apollo Group,Mumbai,Mumbai District,Maharashtra,4.3,Good experience overall but long waiting times.,,,,,,,,
796,Raj Hospital & Research,Emergency Medicine,Apollo Group,Lucknow,Lucknow District,Uttar Pradesh,4.9,Good experience overall but long waiting times.,,,,,,,,
797,Harmony Medical Center,Endocrinology,Independent,Kolhapur,Kolhapur District,Maharashtra,4.5,Highly recommended for specialized surgery.,,,,,,,,
798,Harmony Hospital,General Surgery,Aster DM Healthcare,Indore,Indore District,Madhya Pradesh,3.7,Excellent diagnostics and attentive staff.,,,,,,,,
799,Aster Super Speciality Hospital,Rheumatology,Global Health Group,Vellore,Vellore District,Tamil Nadu,3.7,Good value for money and efficient treatment.,,,,,,,,
800,Sanjeevani Super Speciality Hospital,Plastic Surgery,Narayana Health,Jodhpur,Jodhpur District,Rajasthan,4.3,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
801,Apollo Super Speciality Hospital,Nephrology,Apollo Group,Ahmedabad,Ahmedabad District,Gujarat,4.5,Modern equipment but billing could be better.,,,,,,,,
802,Fortis Care Hospital,Oncology,Global Health Group,Bhopal,Bhopal District,Madhya Pradesh,3.2,Average service; room service needs improvement.,,,,,,,,
803,Crystal Health Centre,Radiology,Narayana Health,Vadodara,Vadodara District,Gujarat,4.3,Average service; room service needs improvement.,,,,,,,,
804,Metro Hospital & Research,General Surgery,Global Health Group,Delhi,Delhi District,Delhi,4.5,Good value for money and efficient treatment.,,,,,,,,
805,Trinity Super Speciality Hospital,Emergency Medicine,Independent,Indore,Indore District,Madhya Pradesh,4.9,Average service; room service needs improvement.,,,,,,,,
806,Vijaya Super Speciality Hospital,Gastroenterology,Max Healthcare,Raipur,Raipur District,Chhattisgarh,4.4,Good value for money and efficient treatment.,,,,,,,,
807,City Medical Center,Gastroenterology,Independent,Bhopal,Bhopal District,Madhya Pradesh,3,Exceptional care and professional staff.,,,,,,,,
808,Aster Health Institute,ENT,Max Healthcare,Ranchi,Ranchi District,Jharkhand,4.8,Modern equipment but billing could be better.,,,,,,,,
809,City Health Institute,Cardiology,Swasthya Foundation,Gurugram,Gurugram District,Haryana,4.3,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
810,Vijaya Medical Center,Nephrology,Apollo Group,Thane,Thane District,Maharashtra,4.7,Average service; room service needs improvement.,,,,,,,,
811,City Clinic,Gastroenterology,Swasthya Foundation,Kolhapur,Kolhapur District,Maharashtra,3.8,Exceptional care and professional staff.,,,,,,,,
812,Harmony Hospital,Neurology,Apollo Group,Thoothukudi,Thoothukudi District,Tamil Nadu,5,Highly recommended for specialized surgery.,,,,,,,,
813,Apollo Health Institute,Plastic Surgery,Max Healthcare,Jodhpur,Jodhpur District,Rajasthan,3.7,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
814,CarePlus Care Hospital,Oncology,Max Healthcare,Gurugram,Gurugram District,Haryana,3.7,Good value for money and efficient treatment.,,,,,,,,
815,CarePlus Health Institute,Ophthalmology,Max Healthcare,Indore,Indore District,Madhya Pradesh,4.7,Highly recommended for specialized surgery.,,,,,,,,
816,Sujatha Super Speciality Hospital,Endocrinology,City Health Org,Vijayawada,Vijayawada District,Andhra Pradesh,3.5,Highly recommended for specialized surgery.,,,,,,,,
817,City Care Hospital,Radiology,Fortis Healthcare,Erode,Erode District,Tamil Nadu,3.1,"Very skilled specialists, especially in their department.",,,,,,,,
818,Apollo Medical Center,Emergency Medicine,Fortis Healthcare,Kochi,Kochi District,Kerala,3.6,Caring doctors and quick emergency response.,,,,,,,,
819,National Hospital,Psychiatry,Aster DM Healthcare,Coimbatore,Coimbatore District,Tamil Nadu,3,Good value for money and efficient treatment.,,,,,,,,
820,Trinity Clinic,Endocrinology,Global Health Group,Noida,Noida District,Uttar Pradesh,3.2,Caring doctors and quick emergency response.,,,,,,,,
821,Swasth Hospital,Nephrology,CarePlus Hospitals,Indore,Indore District,Madhya Pradesh,3.1,Good experience overall but long waiting times.,,,,,,,,
822,Yashodha Clinic,Cardiology,City Health Org,Durgapur,Durgapur District,West Bengal,3.6,Average service; room service needs improvement.,,,,,,,,
823,Apollo Medical Center,Gastroenterology,CarePlus Hospitals,Mysore,Mysore District,Karnataka,4.7,Average service; room service needs improvement.,,,,,,,,
824,Trinity Hospital,Cardiology,Manipal Hospitals,Dehradun,Dehradun District,Uttarakhand,4.4,"Very skilled specialists, especially in their department.",,,,,,,,
825,LifeCare Hospital,Gastroenterology,Fortis Healthcare,Vadodara,Vadodara District,Gujarat,5,Caring doctors and quick emergency response.,,,,,,,,
826,CarePlus Hospital,Neurology,Apollo Group,Chennai,Chennai District,Tamil Nadu,4.9,Good experience overall but long waiting times.,,,,,,,,
827,Sujatha Medical Center,Neurology,Fortis Healthcare,Durgapur,Durgapur District,West Bengal,4.7,Good value for money and efficient treatment.,,,,,,,,
828,Raj Care Hospital,Neurology,Narayana Health,Agra,Agra District,Uttar Pradesh,4.5,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
829,Swasth Medical Center,Nephrology,Apollo Group,Thoothukudi,Thoothukudi District,Tamil Nadu,3.1,Excellent diagnostics and attentive staff.,,,,,,,,
830,Harmony Hospital & Research,Psychiatry,Narayana Health,Bhopal,Bhopal District,Madhya Pradesh,3.9,Average service; room service needs improvement.,,,,,,,,
831,Crystal Clinic,Endocrinology,Manipal Hospitals,Nashik,Nashik District,Maharashtra,3.1,Good experience overall but long waiting times.,,,,,,,,
832,Fortis Hospital,Nephrology,CarePlus Hospitals,Pune,Pune District,Maharashtra,3.5,Good value for money and efficient treatment.,,,,,,,,
833,Swasth Health Institute,Urology,Manipal Hospitals,Vijayawada,Vijayawada District,Andhra Pradesh,3.9,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
834,Swasth Health Centre,Oncology,Max Healthcare,Vijayawada,Vijayawada District,Andhra Pradesh,3.4,Exceptional care and professional staff.,,,,,,,,
835,Fortis Medical Center,Radiology,Independent,Pune,Pune District,Maharashtra,3.1,Highly recommended for specialized surgery.,,,,,,,,
836,Yashodha Medical Center,Endocrinology,Max Healthcare,Kochi,Kochi District,Kerala,4.6,Caring doctors and quick emergency response.,,,,,,,,
837,Prime Hospital,Nephrology,Apollo Group,Jamshedpur,Jamshedpur District,Jharkhand,4,Good experience overall but long waiting times.,,,,,,,,
838,Vijaya Hospital & Research,Orthopedics,CarePlus Hospitals,Kanpur,Kanpur District,Uttar Pradesh,4.9,Good experience overall but long waiting times.,,,,,,,,
839,Vijaya Hospital,Orthopedics,City Health Org,Hyderabad,Hyderabad District,Telangana,4.9,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
840,Prime Clinic,Urology,Global Health Group,Agra,Agra District,Uttar Pradesh,3.3,Excellent diagnostics and attentive staff.,,,,,,,,
841,CarePlus Care Hospital,Orthopedics,Narayana Health,Jodhpur,Jodhpur District,Rajasthan,3.9,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
842,Sanjeevani Clinic,Orthopedics,Swasthya Foundation,Lucknow,Lucknow District,Uttar Pradesh,3.7,Highly recommended for specialized surgery.,,,,,,,,
843,Yashodha Medical Center,Radiology,Narayana Health,Indore,Indore District,Madhya Pradesh,4.3,Caring doctors and quick emergency response.,,,,,,,,
844,Harmony Super Speciality Hospital,Cardiology,Narayana Health,Kochi,Kochi District,Kerala,3.4,Excellent diagnostics and attentive staff.,,,,,,,,
845,National Hospital,Ophthalmology,CarePlus Hospitals,Noida,Noida District,Uttar Pradesh,3.3,Modern equipment but billing could be better.,,,,,,,,
846,Prime Hospital,Neurology,CarePlus Hospitals,Hyderabad,Hyderabad District,Telangana,3.4,Exceptional care and professional staff.,,,,,,,,
847,Apollo Hospital,Orthopedics,Narayana Health,Thoothukudi,Thoothukudi District,Tamil Nadu,3.7,Highly recommended for specialized surgery.,,,,,,,,
848,Fortis Hospital,Orthopedics,CarePlus Hospitals,Noida,Noida District,Uttar Pradesh,3.5,Modern equipment but billing could be better.,,,,,,,,
849,Prime Health Institute,Gastroenterology,City Health Org,Jamshedpur,Jamshedpur District,Jharkhand,4.4,Good experience overall but long waiting times.,,,,,,,,
850,Prime Medical Center,Obstetrics & Gynecology,Narayana Health,Chandigarh,Chandigarh District,Chandigarh,4.9,Good experience overall but long waiting times.,,,,,,,,
851,Crystal Hospital & Research,Orthopedics,CarePlus Hospitals,Coimbatore,Coimbatore District,Tamil Nadu,3.9,Average service; room service needs improvement.,,,,,,,,
852,Prime Clinic,Urology,City Health Org,Nashik,Nashik District,Maharashtra,3.7,Average service; room service needs improvement.,,,,,,,,
853,Crystal Care Hospital,Oncology,Independent,Ranchi,Ranchi District,Jharkhand,3.1,"Very skilled specialists, especially in their department.",,,,,,,,
854,National Hospital,Endocrinology,Prime Medical Group,Chennai,Chennai District,Tamil Nadu,4,Modern equipment but billing could be better.,,,,,,,,
855,Raj Clinic,Oncology,Apollo Group,Mumbai,Mumbai District,Maharashtra,3,Highly recommended for specialized surgery.,,,,,,,,
856,Crystal Care Hospital,Neurology,Manipal Hospitals,Delhi,Delhi District,Delhi,4.9,Good value for money and efficient treatment.,,,,,,,,
857,Trinity Medical Center,Orthopedics,Manipal Hospitals,Thoothukudi,Thoothukudi District,Tamil Nadu,4.3,Good value for money and efficient treatment.,,,,,,,,
858,Raj Health Centre,Ophthalmology,Narayana Health,Srinagar,Srinagar District,Jammu & Kashmir,3.2,Average service; room service needs improvement.,,,,,,,,
859,Sanjeevani Super Speciality Hospital,Cardiology,Fortis Healthcare,Ranchi,Ranchi District,Jharkhand,3.6,"Very skilled specialists, especially in their department.",,,,,,,,
860,Metro Care Hospital,Pulmonology,Prime Medical Group,Vellore,Vellore District,Tamil Nadu,3.6,Good value for money and efficient treatment.,,,,,,,,
861,Metro Hospital & Research,Endocrinology,Swasthya Foundation,Nagpur,Nagpur District,Maharashtra,4.1,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
862,Raj Health Institute,Psychiatry,City Health Org,Trivandrum,Trivandrum District,Kerala,4.9,"Very skilled specialists, especially in their department.",,,,,,,,
863,LifeCare Hospital,Nephrology,Prime Medical Group,Hyderabad,Hyderabad District,Telangana,3.5,Highly recommended for specialized surgery.,,,,,,,,
864,Vijaya Super Speciality Hospital,Oncology,Manipal Hospitals,Kolkata,Kolkata District,West Bengal,3.1,Caring doctors and quick emergency response.,,,,,,,,
865,Global Medical Center,Pulmonology,Prime Medical Group,Nagpur,Nagpur District,Maharashtra,3.8,Excellent diagnostics and attentive staff.,,,,,,,,
866,Swasth Health Institute,General Surgery,Manipal Hospitals,Vadodara,Vadodara District,Gujarat,4.1,Highly recommended for specialized surgery.,,,,,,,,
867,Aster Super Speciality Hospital,Pediatrics,City Health Org,Mumbai,Mumbai District,Maharashtra,4.7,Highly recommended for specialized surgery.,,,,,,,,
868,Aster Hospital & Research,Radiology,City Health Org,Varanasi,Varanasi District,Uttar Pradesh,4.1,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
869,Crystal Health Centre,Gastroenterology,Apollo Group,Jaipur,Jaipur District,Rajasthan,4,Modern equipment but billing could be better.,,,,,,,,
870,Vijaya Health Centre,Pediatrics,Apollo Group,Hyderabad,Hyderabad District,Telangana,4.2,"Very skilled specialists, especially in their department.",,,,,,,,
871,Apollo Hospital,Gastroenterology,Aster DM Healthcare,Bhavnagar,Bhavnagar District,Gujarat,3.5,Exceptional care and professional staff.,,,,,,,,
872,Harmony Hospital,Oncology,Aster DM Healthcare,Hyderabad,Hyderabad District,Telangana,4.9,Modern equipment but billing could be better.,,,,,,,,
873,LifeCare Care Hospital,General,Global Health Group,Kolkata,Kolkata District,West Bengal,4.3,Exceptional care and professional staff.,,,,,,,,
874,Trinity Super Speciality Hospital,Ophthalmology,Swasthya Foundation,Jodhpur,Jodhpur District,Rajasthan,4.5,Good experience overall but long waiting times.,,,,,,,,
875,Metro Medical Center,Gastroenterology,CarePlus Hospitals,Amritsar,Amritsar District,Punjab,4.8,Exceptional care and professional staff.,,,,,,,,
876,Harmony Hospital,Gastroenterology,Max Healthcare,Ahmedabad,Ahmedabad District,Gujarat,4.5,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
877,Vijaya Health Centre,Neurology,Independent,Patna,Patna District,Bihar,3.7,Excellent diagnostics and attentive staff.,,,,,,,,
878,City Medical Center,Pediatrics,Narayana Health,Thoothukudi,Thoothukudi District,Tamil Nadu,3.4,Good value for money and efficient treatment.,,,,,,,,
879,CarePlus Hospital & Research,Pediatrics,Prime Medical Group,Raipur,Raipur District,Chhattisgarh,4,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
880,Fortis Health Centre,Pediatrics,Prime Medical Group,Raipur,Raipur District,Chhattisgarh,3.4,Excellent diagnostics and attentive staff.,,,,,,,,
881,Raj Hospital,Pediatrics,Narayana Health,Delhi,Delhi District,Delhi,4.2,Excellent diagnostics and attentive staff.,,,,,,,,
882,Sujatha Hospital,Endocrinology,Max Healthcare,Trivandrum,Trivandrum District,Kerala,3.8,Exceptional care and professional staff.,,,,,,,,
883,Trinity Hospital & Research,Emergency Medicine,Narayana Health,Delhi,Delhi District,Delhi,4.5,Exceptional care and professional staff.,,,,,,,,
884,Yashodha Health Centre,Pulmonology,Global Health Group,Amritsar,Amritsar District,Punjab,3.8,Highly recommended for specialized surgery.,,,,,,,,
885,CarePlus Medical Center,Rheumatology,Max Healthcare,Gurugram,Gurugram District,Haryana,4.1,Modern equipment but billing could be better.,,,,,,,,
886,Trinity Hospital,Cardiology,Apollo Group,Bhavnagar,Bhavnagar District,Gujarat,4.1,Exceptional care and professional staff.,,,,,,,,
887,LifeCare Hospital & Research,ENT,CarePlus Hospitals,Ranchi,Ranchi District,Jharkhand,4.7,"Very skilled specialists, especially in their department.",,,,,,,,
888,Sujatha Health Institute,Rheumatology,Narayana Health,Hyderabad,Hyderabad District,Telangana,4.6,Good experience overall but long waiting times.,,,,,,,,
889,National Hospital,Ophthalmology,Fortis Healthcare,Vadodara,Vadodara District,Gujarat,4,Modern equipment but billing could be better.,,,,,,,,
890,Aster Hospital,General,City Health Org,Delhi,Delhi District,Delhi,3.7,Highly recommended for specialized surgery.,,,,,,,,
891,Sanjeevani Medical Center,Gastroenterology,Swasthya Foundation,Salem,Salem District,Tamil Nadu,4.8,Average service; room service needs improvement.,,,,,,,,
892,Prime Hospital,Orthopedics,Fortis Healthcare,Srinagar,Srinagar District,Jammu & Kashmir,3.1,Good value for money and efficient treatment.,,,,,,,,
893,Yashodha Hospital,Endocrinology,Swasthya Foundation,Bhopal,Bhopal District,Madhya Pradesh,3.3,Good value for money and efficient treatment.,,,,,,,,
894,LifeCare Care Hospital,Urology,Swasthya Foundation,Raipur,Raipur District,Chhattisgarh,4,Caring doctors and quick emergency response.,,,,,,,,
895,Sujatha Hospital & Research,Gastroenterology,Prime Medical Group,Vadodara,Vadodara District,Gujarat,4.4,Good value for money and efficient treatment.,,,,,,,,
896,Raj Clinic,Emergency Medicine,CarePlus Hospitals,Erode,Erode District,Tamil Nadu,3.8,"Very skilled specialists, especially in their department.",,,,,,,,
897,CarePlus Health Centre,Neurology,Aster DM Healthcare,Jamshedpur,Jamshedpur District,Jharkhand,3.2,Highly recommended for specialized surgery.,,,,,,,,
898,Apollo Health Institute,Gastroenterology,Apollo Group,Ranchi,Ranchi District,Jharkhand,3.5,Exceptional care and professional staff.,,,,,,,,
899,Vijaya Medical Center,Urology,Fortis Healthcare,Delhi,Delhi District,Delhi,4.7,Good value for money and efficient treatment.,,,,,,,,
900,Global Hospital & Research,Dermatology,City Health Org,Pune,Pune District,Maharashtra,4.2,Average service; room service needs improvement.,,,,,,,,
901,Prime Care Hospital,Orthopedics,Prime Medical Group,Vijayawada,Vijayawada District,Andhra Pradesh,4.5,Excellent diagnostics and attentive staff.,,,,,,,,
902,Vijaya Health Centre,General,Apollo Group,Patna,Patna District,Bihar,3.6,Caring doctors and quick emergency response.,,,,,,,,
903,Metro Hospital,Radiology,Prime Medical Group,Nagpur,Nagpur District,Maharashtra,5,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
904,National Health Centre,Nephrology,Narayana Health,Kanpur,Kanpur District,Uttar Pradesh,3.9,Modern equipment but billing could be better.,,,,,,,,
905,Sunrise Health Institute,Dermatology,Independent,Bhopal,Bhopal District,Madhya Pradesh,4.8,Caring doctors and quick emergency response.,,,,,,,,
906,Sanjeevani Care Hospital,Orthopedics,Global Health Group,Agra,Agra District,Uttar Pradesh,4.7,Average service; room service needs improvement.,,,,,,,,
907,Metro Health Centre,Ophthalmology,Prime Medical Group,Ahmedabad,Ahmedabad District,Gujarat,3.2,Caring doctors and quick emergency response.,,,,,,,,
908,Sujatha Medical Center,Psychiatry,Prime Medical Group,Gurugram,Gurugram District,Haryana,3.6,Good value for money and efficient treatment.,,,,,,,,
909,Apollo Clinic,Obstetrics & Gynecology,Fortis Healthcare,Kolhapur,Kolhapur District,Maharashtra,3.8,Excellent diagnostics and attentive staff.,,,,,,,,
910,Prime Health Institute,ENT,Max Healthcare,Dehradun,Dehradun District,Uttarakhand,4.8,Excellent diagnostics and attentive staff.,,,,,,,,
911,LifeCare Super Speciality Hospital,Pediatrics,Prime Medical Group,Nagpur,Nagpur District,Maharashtra,4.2,Good value for money and efficient treatment.,,,,,,,,
912,Fortis Health Centre,Nephrology,Swasthya Foundation,Chandigarh,Chandigarh District,Chandigarh,4,Modern equipment but billing could be better.,,,,,,,,
913,Prime Super Speciality Hospital,Neurology,CarePlus Hospitals,Pune,Pune District,Maharashtra,3.5,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
914,Raj Care Hospital,Gastroenterology,City Health Org,Jaipur,Jaipur District,Rajasthan,4.4,Exceptional care and professional staff.,,,,,,,,
915,Global Super Speciality Hospital,Emergency Medicine,Manipal Hospitals,Thane,Thane District,Maharashtra,3.9,Highly recommended for specialized surgery.,,,,,,,,
916,Sujatha Super Speciality Hospital,Obstetrics & Gynecology,Max Healthcare,Chandigarh,Chandigarh District,Chandigarh,4.8,Good experience overall but long waiting times.,,,,,,,,
917,Yashodha Medical Center,Neurology,Prime Medical Group,Delhi,Delhi District,Delhi,4.8,Caring doctors and quick emergency response.,,,,,,,,
918,Sunrise Super Speciality Hospital,General,Prime Medical Group,Kanpur,Kanpur District,Uttar Pradesh,3.6,Good value for money and efficient treatment.,,,,,,,,
919,LifeCare Hospital,Gastroenterology,Global Health Group,Mumbai,Mumbai District,Maharashtra,4,Exceptional care and professional staff.,,,,,,,,
920,CarePlus Medical Center,ENT,Manipal Hospitals,Bengaluru,Bengaluru District,Karnataka,3.8,Exceptional care and professional staff.,,,,,,,,
921,Harmony Super Speciality Hospital,General Surgery,Max Healthcare,Kolkata,Kolkata District,West Bengal,4.2,Modern equipment but billing could be better.,,,,,,,,
922,CarePlus Care Hospital,Cardiology,Manipal Hospitals,Kolkata,Kolkata District,West Bengal,3.9,Modern equipment but billing could be better.,,,,,,,,
923,Apollo Care Hospital,Oncology,Prime Medical Group,Trivandrum,Trivandrum District,Kerala,4.9,Average service; room service needs improvement.,,,,,,,,
